frame,disk_id,cx_mm,cy_mm,mx_mm,my_mm,r_px,marker_color
133,0,866.1934680246745,7.057322423871705,870.650724292383,24.51490947239645,53.844783782958984,green
134,0,858.25706352359,21.610462620598796,860.993335712348,41.601058498612154,54.75259017944336,green
135,0,850.9871798877329,37.48242997014471,853.5645752661673,57.20145543559171,55.52391815185547,green
135,1,627.7302577022728,15.600396936979559,612.1298607652932,5.200132312326519,55.443763732910156,blue
136,0,843.8314662885181,52.73091409213418,845.3929387753684,72.0589763279532,55.68231201171875,green
136,1,633.444971327488,31.572231896268153,617.3299930776196,17.82902507083378,55.51166534423828,blue
137,0,836.5930496921485,68.00067473902214,837.9641783291877,87.65937326493275,55.503353118896484,green
137,1,639.328264855895,47.80178258908358,622.5301253899462,34.91517409704949,55.185115814208984,blue
138,0,829.0294434600368,83.4898318373808,829.0496657937708,104.00264624653039,55.2779655456543,green
138,1,645.5225561131858,64.87613147549143,626.9873816576546,51.25844707864712,55.22041320800781,blue
139,0,820.878029302972,101.03114206805809,820.135153258354,121.83167131736417,55.713653564453125,green
139,1,651.8737291523602,82.0878029302972,634.4161421038353,70.57322423871705,55.43023681640625,blue
140,0,813.7746398587553,116.73155114098836,811.9635167675551,138.1749442989618,56.43114471435547,green
140,1,657.6662488867408,97.8441634826622,640.35915046078,86.17362117569661,55.8556022644043,blue
141,0,806.5271549512943,132.157213058623,803.7918802767563,150.80383705746905,56.420867919921875,green
141,1,663.519753013212,113.85844947324802,646.3021588177246,103.25977020191232,55.863887786865234,blue
142,0,799.276586818062,147.2950241114348,794.8773677413394,167.88998608368476,56.11238479614258,green
142,1,669.3313162008849,130.37474583047202,651.502291130051,119.60304318350995,55.53612518310547,blue
143,0,791.2076036088193,164.19789123510182,787.4486072951587,184.2332590652824,56.01347732543945,green
143,1,675.7412972374877,148.17192979398567,657.4452994869957,137.43206825434373,55.565513610839844,blue
144,0,783.6192408874277,180.49000760675438,778.5340947597418,200.57653204688003,56.45348358154297,green
144,1,682.1042590810811,165.65529351678808,664.1311838885583,156.00396936979558,55.897579193115234,blue
145,0,776.3654988453135,196.38760710436995,769.6195822243249,216.1769289838596,56.922325134277344,green
145,1,688.2712547219865,182.2368817138711,670.0741922455029,172.34724235139322,56.34371566772461,blue
146,0,775.8497839935383,213.64437640377278,768.8767061797068,232.52020196545723,56.8713264465332,green
146,1,686.9555788072719,196.64802632814093,668.5884401562668,187.94763928837278,57.03709030151367,blue
147,0,780.391284871287,231.40588789853012,773.3339624474153,250.349227036291,56.679019927978516,green
147,1,679.2604367227775,211.62388868024686,661.159679710086,202.80516018073425,56.690330505371094,blue
148,0,785.2672250620914,250.13238104731482,777.7912187151237,268.1782521071248,56.4650993347168,green
148,1,671.2609621180513,227.510322819831,652.9880432192872,219.14843316233188,56.59653854370117,blue
149,0,790.2939712663477,269.2848807804018,780.762722893596,287.49302926719474,56.81094741821289,green
