epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7177,1.53596,6.08223,0.73736,58.9482,0.36367,0.00568,0.01075,0.00017,4e-05,0.17266,0.48746,0.16929,0.02623,5.33806,3.7903,0.71022,55.9222,1.35314,0.000654321,0.000654321,0.000654321
2,37.1072,4.73183,3.1209,0.67658,2.96059,1.09372,0.18409,0.24373,0.08629,0.01665,0.62283,0.62007,0.65294,0.35478,3.88954,2.28255,0.63519,1.91425,1.0073,0.00130791,0.00130791,0.00130791
3,48.0009,4.27431,1.92352,0.5794,2.23995,0.9486,0.36164,0.41935,0.28212,0.07176,0.69726,0.76773,0.74729,0.50757,3.51108,1.6295,0.51906,1.55713,0.9877,0.0019483,0.0019483,0.0019483
4,58.4628,3.83169,1.41467,0.45951,1.80148,0.87735,0.43107,0.42365,0.27785,0.06029,0.71446,0.7491,0.74973,0.53717,3.49647,1.47246,0.42544,1.63288,0.96621,0.0019406,0.0019406,0.0019406
5,68.965,3.52865,1.16155,0.33822,1.75436,0.85593,0.32608,0.32604,0.19179,0.03657,0.75727,0.68212,0.74537,0.61505,3.66398,1.25875,0.30346,1.86644,0.96909,0.0019208,0.0019208,0.0019208
6,79.4322,3.3648,0.85166,0.24676,1.54748,0.82591,0.51307,0.50985,0.41679,0.08921,0.81126,0.78573,0.85038,0.68712,3.31739,1.08521,0.2124,1.51022,0.94415,0.001901,0.001901,0.001901
7,89.9652,3.07404,0.81452,0.17919,1.48545,0.80675,0.49023,0.50538,0.4132,0.11813,0.72627,0.73118,0.7796,0.65709,3.14063,1.13854,0.17492,1.656,0.90509,0.0018812,0.0018812,0.0018812
8,100.372,3.13733,0.83152,0.12635,1.54625,0.81807,0.55639,0.53405,0.41469,0.09781,0.7873,0.75621,0.80889,0.67023,3.20502,1.11366,0.1347,1.47563,0.91828,0.0018614,0.0018614,0.0018614
9,110.647,2.97975,0.67159,0.11925,1.45629,0.78721,0.47104,0.43727,0.30643,0.06429,0.7952,0.73477,0.792,0.67253,3.44176,1.00013,0.11384,1.55866,0.94365,0.0018416,0.0018416,0.0018416
10,120.956,2.71313,0.46354,0.08913,1.41359,0.76185,0.61036,0.55556,0.5229,0.15329,0.77516,0.78495,0.83242,0.7314,3.04232,0.94863,0.0877,1.26748,0.88572,0.0018218,0.0018218,0.0018218
11,131.679,2.81623,0.58198,0.09121,1.36465,0.77567,0.70216,0.59857,0.56422,0.19155,0.83643,0.73835,0.8057,0.70478,2.814,0.98874,0.09683,1.44669,0.87126,0.001802,0.001802,0.001802
12,142.265,2.73345,0.5382,0.07713,1.37009,0.78114,0.66464,0.54697,0.53241,0.15441,0.79546,0.79452,0.84813,0.71195,2.96356,1.10446,0.09196,1.51719,0.89427,0.0017822,0.0017822,0.0017822
13,152.664,2.73121,0.48152,0.07632,1.35946,0.75981,0.54887,0.48029,0.37592,0.09001,0.82286,0.76586,0.81921,0.70225,3.33213,1.04273,0.1077,1.53153,0.91597,0.0017624,0.0017624,0.0017624
14,162.871,2.74677,0.55771,0.09423,1.37863,0.76039,0.59556,0.5278,0.48707,0.12854,0.80918,0.78136,0.83115,0.71224,3.27598,1.0219,0.10315,1.3347,0.91727,0.0017426,0.0017426,0.0017426
15,173.353,2.61813,0.40859,0.07184,1.39861,0.75337,0.59283,0.6129,0.54828,0.16546,0.77569,0.82437,0.84148,0.73731,2.97439,0.98006,0.09281,1.28054,0.88673,0.0017228,0.0017228,0.0017228
16,184.112,2.59889,0.4298,0.0591,1.3197,0.76127,0.59464,0.52688,0.50351,0.14374,0.81012,0.82579,0.83598,0.71863,3.05793,0.98843,0.08554,1.34558,0.90077,0.001703,0.001703,0.001703
17,194.917,2.4487,0.35433,0.06371,1.3372,0.75883,0.58045,0.51971,0.47877,0.12405,0.76905,0.79928,0.84391,0.74894,3.19521,0.86861,0.08193,1.48098,0.89601,0.0016832,0.0016832,0.0016832
18,205.417,2.53468,0.42119,0.06292,1.27714,0.76162,0.63877,0.60215,0.55046,0.15758,0.84367,0.82437,0.87565,0.74106,2.97584,0.89826,0.08112,1.42732,0.88256,0.0016634,0.0016634,0.0016634
19,216.125,2.53427,0.41393,0.07089,1.28724,0.75376,0.6325,0.5914,0.57766,0.15558,0.83221,0.83871,0.88325,0.75576,3.05326,0.90714,0.07176,1.30063,0.88876,0.0016436,0.0016436,0.0016436
20,227.531,2.53798,0.41058,0.06085,1.32478,0.75071,0.51148,0.46533,0.3991,0.09103,0.77333,0.75814,0.80204,0.71404,3.3056,0.92265,0.08192,1.52446,0.89364,0.0016238,0.0016238,0.0016238
21,237.964,2.37398,0.33216,0.06957,1.34007,0.76068,0.67485,0.56989,0.58983,0.17005,0.83396,0.8101,0.86003,0.76794,3.02151,0.82906,0.06907,1.3978,0.88139,0.001604,0.001604,0.001604
22,249.521,2.4048,0.3281,0.04793,1.23463,0.75485,0.47728,0.43369,0.33537,0.07819,0.74483,0.681,0.77993,0.68297,3.43339,0.95487,0.09257,1.55615,0.90412,0.0015842,0.0015842,0.0015842
23,259.995,2.34907,0.32036,0.06234,1.27544,0.76146,0.65751,0.53405,0.54272,0.15705,0.79319,0.71484,0.80318,0.70515,3.07347,0.96232,0.0789,1.66784,0.88352,0.0015644,0.0015644,0.0015644
24,270.445,2.48195,0.36745,0.04802,1.27291,0.73846,0.63474,0.58423,0.56033,0.16562,0.81096,0.84229,0.87892,0.77099,3.06669,0.8625,0.0602,1.32855,0.8904,0.0015446,0.0015446,0.0015446
25,280.861,2.3343,0.25262,0.05249,1.19557,0.75505,0.71111,0.5233,0.54397,0.14029,0.80316,0.74583,0.8457,0.75063,3.1498,0.8564,0.05833,1.5778,0.88963,0.0015248,0.0015248,0.0015248
26,291.181,2.47923,0.31622,0.04407,1.26688,0.73899,0.69841,0.56272,0.61416,0.1823,0.79762,0.77696,0.8456,0.75958,2.97508,0.82134,0.05232,1.41194,0.88863,0.001505,0.001505,0.001505
27,303.267,2.27921,0.27875,0.05174,1.14896,0.75304,0.77216,0.57092,0.59986,0.16692,0.81345,0.7033,0.80234,0.70631,2.9036,0.86654,0.07527,1.6018,0.87424,0.0014852,0.0014852,0.0014852
28,315.379,2.27182,0.25999,0.046,1.18882,0.74678,0.64048,0.48387,0.45892,0.11733,0.85248,0.74567,0.8337,0.7165,3.16927,0.88848,0.05627,1.64759,0.88928,0.0014654,0.0014654,0.0014654
29,327.25,2.39324,0.28283,0.05316,1.21397,0.7553,0.68388,0.58929,0.60167,0.17465,0.78894,0.76366,0.83557,0.73805,3.03505,0.87997,0.0599,1.47556,0.8823,0.0014456,0.0014456,0.0014456
30,339.026,2.30836,0.29252,0.05209,1.17645,0.75281,0.49794,0.45858,0.42054,0.10555,0.79784,0.73477,0.81699,0.73333,3.13881,0.83765,0.05143,1.67231,0.88722,0.0014258,0.0014258,0.0014258
31,350.47,2.24419,0.27621,0.05954,1.16344,0.73715,0.64231,0.49462,0.5202,0.1461,0.80984,0.62582,0.77144,0.69465,3.08529,0.92075,0.05234,1.74534,0.88151,0.001406,0.001406,0.001406
32,360.995,2.17766,0.30189,0.0381,1.17684,0.74773,0.69926,0.45836,0.49545,0.1388,0.8159,0.67025,0.76937,0.69759,3.16797,0.89293,0.04251,1.89286,0.92589,0.0013862,0.0013862,0.0013862
33,371.832,2.36693,0.28167,0.04373,1.19293,0.7472,0.66169,0.46237,0.47504,0.11606,0.75104,0.72043,0.76806,0.65329,3.22959,0.98923,0.03872,1.57862,0.92199,0.0013664,0.0013664,0.0013664
34,383.752,2.18486,0.25546,0.04912,1.15959,0.73931,0.73794,0.54502,0.57644,0.18535,0.85114,0.64158,0.7232,0.65877,2.89883,0.86598,0.0422,1.66216,0.87865,0.0013466,0.0013466,0.0013466
