epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77364,1.8305,9.19141,0.80559,161.328,1.39112,0,0,0,0,0.0391,0.01792,0.00196,0.00049,2.92888,5.24578,0.73749,17.4901,2.0721,0.000611111,0.000611111,0.000611111
2,10.0152,2.51746,9.50522,0.81596,147.159,1.90899,0,0,0,0,0.00036,0.0681,2e-05,1e-05,2.30054,4.24368,0.73199,2769.29,1.52523,0.00125248,0.00125248,0.00125248
3,16.5761,1.13027,6.63363,0.75262,8.69138,0.55395,0,0,0,0,0.00036,0.0681,2e-05,1e-05,2.30631,4.23503,0.73182,2767.92,1.52397,0.00186744,0.00186744,0.00186744
4,19.498,4.4433,5.60156,0.72016,7.65512,1.20699,0.0002,0.01792,0,0,0.00177,0.00717,7e-05,1e-05,4.68736,4.46905,0.68284,262.287,1.16744,0.0018812,0.0018812,0.0018812
5,22.6551,4.91641,4.77039,0.72547,4.35331,1.37778,5e-05,0.00358,0,0,0.00459,0.01075,0.00032,6e-05,4.81403,4.88441,0.60476,7044.33,3.23238,0.0018416,0.0018416,0.0018416
6,25.8667,5.22899,4.40637,0.71313,4.31777,1.32012,0.00181,0.04301,0.00053,8e-05,0.04454,0.24731,0.02927,0.00516,5.11133,4.21069,0.69301,25.1514,1.43739,0.001802,0.001802,0.001802
7,28.9163,4.79551,3.71512,0.70197,3.20909,1.16523,0.00589,0.03943,0.00093,0.00016,0.00917,0.36918,0.00731,0.00187,4.35884,4.53537,0.6828,7.19243,1.21576,0.0017624,0.0017624,0.0017624
8,32.0561,4.86971,3.58463,0.682,2.60162,1.25872,0.03515,0.06452,0.00574,0.00135,0.28764,0.20789,0.14923,0.03583,4.32665,3.36407,0.68329,9.21536,1.21727,0.0017228,0.0017228,0.0017228
9,35.2571,4.65309,3.33901,0.67147,2.47878,1.19125,0.0629,0.01792,0.0065,0.00093,0.22646,0.06452,0.07545,0.01956,4.38882,6.14621,0.8252,3.09406,1.28956,0.0016832,0.0016832,0.0016832
10,38.3314,4.42725,3.1051,0.65329,2.34247,1.06251,0.00393,0.15771,0.00527,0.00096,0.01402,0.56272,0.06986,0.01494,4.4465,7.02609,0.82133,2.9488,1.19321,0.0016436,0.0016436,0.0016436
11,41.3724,4.25849,3.13306,0.65827,2.25013,1.04492,0.04584,0.20789,0.01419,0.00212,0.28028,0.28315,0.2174,0.07482,4.30021,3.26207,0.63571,2.56889,1.16129,0.001604,0.001604,0.001604
12,44.5186,4.23875,3.04608,0.63059,2.27498,1.00921,0.10668,0.24012,0.04369,0.00786,0.39647,0.49821,0.38151,0.1592,3.95946,2.81076,0.62052,2.41233,1.03685,0.0015644,0.0015644,0.0015644
13,47.5039,4.29331,3.29668,0.59208,2.09273,0.98353,0.14518,0.32258,0.07354,0.01222,0.39729,0.63441,0.4432,0.19691,3.86751,2.75447,0.58416,2.01396,1.02072,0.0015248,0.0015248,0.0015248
14,50.5526,3.89807,2.92735,0.60138,1.88117,0.94151,0.24484,0.32975,0.12978,0.02816,0.4979,0.58065,0.50558,0.24613,3.58968,2.61328,0.59399,1.96159,1.0255,0.0014852,0.0014852,0.0014852
15,53.8988,3.75358,2.78667,0.57388,1.8505,0.93573,0.26347,0.26523,0.17455,0.03808,0.4905,0.58781,0.5055,0.24124,3.56428,2.7854,0.54756,1.83502,1.01764,0.0014456,0.0014456,0.0014456
16,57.2035,3.9781,2.43928,0.56437,1.99432,0.96847,0.32774,0.35125,0.23906,0.05653,0.59858,0.51971,0.59598,0.32111,3.33472,2.47096,0.53822,1.77414,0.9895,0.001406,0.001406,0.001406
17,60.4003,3.70377,2.29153,0.54039,1.72796,0.8982,0.4016,0.36083,0.29803,0.07114,0.58387,0.55197,0.61646,0.3901,3.48154,2.30059,0.53032,1.7438,0.96507,0.0013664,0.0013664,0.0013664
18,63.5727,3.56784,2.43435,0.52704,1.57528,0.91322,0.454,0.52688,0.38982,0.09202,0.6017,0.72401,0.67367,0.34125,3.24788,2.29813,0.47141,1.54462,0.95803,0.0013268,0.0013268,0.0013268
19,66.6097,3.45962,2.05631,0.46998,1.59299,0.96945,0.48459,0.56989,0.4148,0.11639,0.69386,0.80645,0.76331,0.48806,3.07579,1.8192,0.45997,1.45931,0.94513,0.0012872,0.0012872,0.0012872
20,69.7554,3.3306,1.77202,0.48697,1.42234,0.88573,0.51829,0.49821,0.41446,0.09678,0.70703,0.80645,0.79638,0.57192,3.24698,1.45576,0.47601,1.45362,0.94755,0.0012476,0.0012476,0.0012476
21,73.062,3.42457,1.67011,0.47151,1.38145,0.85732,0.60831,0.59498,0.51634,0.15467,0.7748,0.78924,0.81561,0.64313,2.95175,1.35803,0.4473,1.33117,0.91558,0.001208,0.001208,0.001208
22,76.1723,3.16915,1.51536,0.45184,1.32149,0.88929,0.59749,0.548,0.5469,0.16511,0.68897,0.76344,0.7949,0.68735,3.0035,1.24013,0.44371,1.28747,0.92033,0.0011684,0.0011684,0.0011684
23,79.2276,3.22993,1.46268,0.45134,1.35164,0.85996,0.6024,0.5865,0.58569,0.19105,0.7197,0.77419,0.80994,0.69083,2.92797,1.25579,0.42933,1.2905,0.91639,0.0011288,0.0011288,0.0011288
24,82.4139,3.14213,1.34454,0.42093,1.21201,0.81393,0.67229,0.58781,0.59583,0.19034,0.81076,0.79853,0.86959,0.7456,2.86362,1.15133,0.41563,1.25149,0.91676,0.0010892,0.0010892,0.0010892
25,85.5908,3.05422,1.20231,0.41074,1.21316,0.83909,0.69408,0.63799,0.60861,0.20383,0.80086,0.83601,0.87855,0.75804,2.7821,1.08511,0.40549,1.21715,0.90964,0.0010496,0.0010496,0.0010496
26,88.6782,2.92298,1.0935,0.39799,1.16169,0.86573,0.67667,0.6526,0.63179,0.18776,0.80858,0.83154,0.87815,0.7722,2.83796,1.00526,0.38813,1.15459,0.89293,0.00101,0.00101,0.00101
27,91.9854,3.09533,1.13989,0.37546,1.15941,0.84808,0.70769,0.66308,0.66461,0.22425,0.81331,0.82796,0.89053,0.76929,2.73121,0.96286,0.36522,1.10358,0.88187,0.0009704,0.0009704,0.0009704
28,95.1293,2.95345,1.11761,0.34536,1.15941,0.83837,0.66887,0.64875,0.60945,0.19787,0.8403,0.82437,0.89879,0.79616,2.82509,0.89507,0.34713,1.11871,0.88498,0.0009308,0.0009308,0.0009308
29,98.0922,2.87504,1.11888,0.35832,1.12929,0.82574,0.73013,0.66667,0.67325,0.256,0.82911,0.85663,0.91531,0.80744,2.65742,0.89981,0.33547,1.06532,0.87011,0.0008912,0.0008912,0.0008912
30,101.2,2.91131,0.9689,0.32382,1.15152,0.83307,0.74843,0.69311,0.68185,0.24388,0.84473,0.87097,0.91892,0.83019,2.671,0.81296,0.32278,1.09437,0.88031,0.0008516,0.0008516,0.0008516
31,104.381,2.79871,0.92459,0.31616,1.13439,0.85101,0.71278,0.67601,0.67421,0.25309,0.82249,0.89964,0.91154,0.80796,2.63405,0.80507,0.30103,1.09659,0.86697,0.000812,0.000812,0.000812
32,107.836,2.82536,0.83307,0.29861,1.08583,0.83015,0.72413,0.73383,0.68786,0.26039,0.86748,0.8853,0.922,0.81579,2.58896,0.78934,0.28588,1.06201,0.86562,0.0007724,0.0007724,0.0007724
33,111.185,2.72955,0.85302,0.29034,1.05829,0.82959,0.73856,0.72903,0.68721,0.25495,0.90189,0.89964,0.93373,0.84826,2.57091,0.72451,0.27432,1.04878,0.8649,0.0007328,0.0007328,0.0007328
34,114.233,2.74872,0.90757,0.28124,1.08157,0.82691,0.73001,0.71714,0.66803,0.23038,0.90903,0.89964,0.9412,0.8422,2.64012,0.73196,0.25917,1.04137,0.86649,0.0006932,0.0006932,0.0006932
35,117.271,2.78989,0.87433,0.27342,1.08682,0.82646,0.73697,0.71326,0.67898,0.24881,0.88725,0.8853,0.93095,0.82944,2.63825,0.72897,0.24717,1.04666,0.86202,0.0006536,0.0006536,0.0006536
36,120.197,2.78456,0.82733,0.25749,1.0358,0.80868,0.76661,0.71817,0.70604,0.26817,0.88068,0.89943,0.9371,0.84719,2.53643,0.67427,0.24221,1.02364,0.8554,0.000614,0.000614,0.000614
37,123.822,2.72001,0.84825,0.25408,1.03093,0.82257,0.74264,0.73835,0.69919,0.25804,0.86263,0.91039,0.9272,0.80996,2.62966,0.77298,0.23655,1.03525,0.86138,0.0005744,0.0005744,0.0005744
38,128.771,2.70094,0.78839,0.24396,1.03668,0.80593,0.75872,0.75986,0.72282,0.2767,0.88301,0.90681,0.93251,0.85891,2.5125,0.6431,0.23785,1.01189,0.85404,0.0005348,0.0005348,0.0005348
39,133.427,2.65011,0.77527,0.24888,1.08986,0.83133,0.76788,0.75986,0.71008,0.27016,0.90122,0.9156,0.92829,0.85895,2.49098,0.6583,0.22982,0.99045,0.8497,0.0004952,0.0004952,0.0004952
40,137.735,2.6558,0.71621,0.24249,1.06783,0.82819,0.78649,0.77896,0.72404,0.26863,0.92112,0.92079,0.94079,0.87382,2.50817,0.64399,0.23121,0.99983,0.8464,0.0004556,0.0004556,0.0004556
41,167.945,2.58859,0.69217,0.21321,1.04898,0.81483,0.7541,0.75986,0.70744,0.28083,0.90131,0.9166,0.94218,0.86275,2.50728,0.68883,0.22134,1.01503,0.84522,0.000416,0.000416,0.000416
42,171.113,2.49214,0.64802,0.21065,1.03883,0.83726,0.76241,0.75912,0.72,0.28104,0.90564,0.91756,0.94605,0.87265,2.47474,0.65776,0.21473,1.00991,0.84307,0.0003764,0.0003764,0.0003764
43,174.289,2.5608,0.64499,0.20302,1.01681,0.83962,0.76935,0.75627,0.72843,0.27662,0.9152,0.89964,0.94264,0.87595,2.4784,0.62548,0.21044,0.98737,0.83963,0.0003368,0.0003368,0.0003368
44,177.419,2.56791,0.58071,0.20506,1.04222,0.84638,0.77109,0.77273,0.74871,0.28295,0.90068,0.89964,0.93709,0.87777,2.46102,0.63239,0.20117,0.95838,0.83898,0.0002972,0.0002972,0.0002972
45,180.467,2.47393,0.57382,0.20472,0.97469,0.84437,0.78108,0.77419,0.75349,0.30103,0.89599,0.90323,0.93752,0.88088,2.39051,0.62024,0.19331,0.94071,0.83192,0.0002576,0.0002576,0.0002576
46,183.767,2.53601,0.5757,0.18545,1.03001,0.83468,0.79656,0.77778,0.76302,0.28351,0.91364,0.91398,0.9415,0.88728,2.44072,0.59753,0.18757,0.95465,0.83131,0.000218,0.000218,0.000218
