epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7578,3.64754,3.69496,0.66869,44.6873,1.62335,0.36411,0.36531,0.27026,0.06409,0.5918,0.5233,0.55418,0.42668,3.31955,2.22991,0.59392,2.30264,1.44878,0.000660494,0.000660494,0.000660494
2,65.5316,2.98181,1.55187,0.50734,1.9219,1.1727,0.40332,0.46237,0.26496,0.06284,0.61749,0.59596,0.58902,0.4664,3.37099,1.49471,0.45613,2.33486,1.44237,0.00129796,0.00129796,0.00129796
3,96.9143,2.82837,1.03634,0.32353,1.72685,1.1521,0.35732,0.48026,0.26858,0.05694,0.57772,0.70609,0.60661,0.42687,3.06153,1.65917,0.23867,2.11821,1.32123,0.0019061,0.0019061,0.0019061
4,128.187,2.81875,0.96902,0.20222,1.71371,1.12959,0.49035,0.4552,0.37483,0.09705,0.76712,0.681,0.71329,0.57991,2.9838,1.35425,0.20305,2.20321,1.32894,0.001868,0.001868,0.001868
5,159.961,2.57036,0.68696,0.09302,1.62544,1.08129,0.34423,0.45161,0.29279,0.07614,0.6847,0.65591,0.67332,0.5756,3.04196,1.30318,0.13334,2.38778,1.31605,0.001824,0.001824,0.001824
6,191.607,2.48396,0.67945,0.08477,1.68364,1.04611,0.59635,0.50896,0.48674,0.13609,0.76039,0.66308,0.74552,0.63289,2.84153,1.16058,0.13281,1.88786,1.23562,0.00178,0.00178,0.00178
7,223.355,2.40269,0.61187,0.0828,1.51017,1.04272,0.70089,0.58781,0.5981,0.17447,0.8518,0.71685,0.83135,0.70665,2.76351,1.06793,0.11266,1.77524,1.23999,0.001736,0.001736,0.001736
8,254.321,2.36796,0.55517,0.06908,1.47309,1.02303,0.52346,0.56631,0.50701,0.13392,0.74764,0.75986,0.81662,0.69826,2.76771,0.98569,0.08045,1.66517,1.18625,0.001692,0.001692,0.001692
9,285.49,2.34042,0.45928,0.07166,1.40806,0.99752,0.76345,0.60573,0.62445,0.19789,0.88848,0.69176,0.8102,0.692,2.68334,0.9908,0.08826,1.97524,1.18212,0.001648,0.001648,0.001648
10,316.505,2.31274,0.41072,0.05598,1.4475,1.01718,0.67416,0.63082,0.5753,0.17048,0.82031,0.79211,0.85257,0.72349,2.67575,0.90866,0.06785,1.69166,1.17137,0.001604,0.001604,0.001604
11,347.625,2.30373,0.38401,0.06121,1.53321,0.98919,0.68259,0.65591,0.55132,0.1845,0.81259,0.78853,0.82642,0.70577,2.67548,0.89437,0.05764,1.58447,1.18791,0.00156,0.00156,0.00156
12,378.412,2.26157,0.34835,0.06571,1.40151,0.99907,0.61656,0.54176,0.49774,0.13368,0.73311,0.64875,0.72314,0.6034,2.92441,1.0463,0.08234,1.82675,1.26742,0.001516,0.001516,0.001516
13,409.509,2.16361,0.42209,0.06813,1.38533,0.96875,0.61817,0.51613,0.52166,0.15592,0.73701,0.65291,0.687,0.61214,2.87417,0.98173,0.0482,2.25989,1.17765,0.001472,0.001472,0.001472
14,440.283,2.16967,0.33141,0.05799,1.33076,0.97538,0.72679,0.60573,0.59762,0.21917,0.77098,0.70609,0.76557,0.66244,2.6683,1.01316,0.06771,1.80171,1.21168,0.001428,0.001428,0.001428
15,470.96,2.14009,0.36587,0.07168,1.29706,0.96586,0.70777,0.6129,0.61306,0.17563,0.82343,0.73547,0.82234,0.69452,2.79064,0.97114,0.06735,1.74992,1.20994,0.001384,0.001384,0.001384
16,502.03,2.07406,0.33169,0.07086,1.34527,0.9652,0.75528,0.60932,0.65889,0.22011,0.83999,0.70968,0.81897,0.73758,2.65784,0.84388,0.07539,1.77735,1.17562,0.00134,0.00134,0.00134
17,532.795,2.08853,0.29868,0.05817,1.36469,0.96909,0.76265,0.60573,0.61122,0.21271,0.85767,0.71274,0.80568,0.71053,2.59668,0.90344,0.07391,1.81344,1.14642,0.001296,0.001296,0.001296
18,564.723,2.07214,0.26903,0.04603,1.28706,0.92411,0.78012,0.60932,0.63659,0.2335,0.83151,0.67025,0.76072,0.68184,2.66436,0.95147,0.07979,2.08206,1.17961,0.001252,0.001252,0.001252
19,596.116,1.95954,0.29411,0.0459,1.29679,0.90924,0.66564,0.58065,0.5728,0.16399,0.79329,0.69176,0.75631,0.67272,2.77229,0.9103,0.07699,2.02511,1.18476,0.001208,0.001208,0.001208
20,627.232,1.98824,0.24803,0.05813,1.20933,0.93768,0.72216,0.58423,0.59373,0.20577,0.80318,0.64875,0.71124,0.6496,2.54057,0.82729,0.0785,2.01695,1.15258,0.001164,0.001164,0.001164
21,658.163,1.96614,0.28312,0.05531,1.2322,0.94055,0.7788,0.60573,0.62972,0.2178,0.84757,0.66308,0.78089,0.70666,2.62103,0.86865,0.07258,2.0506,1.14028,0.00112,0.00112,0.00112
22,689.407,1.96611,0.24296,0.04155,1.36017,0.93329,0.73242,0.50035,0.56615,0.17921,0.81326,0.56193,0.69434,0.62178,2.77679,0.93753,0.07727,2.31862,1.18407,0.001076,0.001076,0.001076
23,720.339,1.94354,0.23421,0.05228,1.33641,0.92608,0.79414,0.6084,0.61987,0.19376,0.87873,0.70125,0.78918,0.67442,2.67351,0.93261,0.06537,2.07752,1.16273,0.001032,0.001032,0.001032
24,751.085,1.99066,0.20906,0.0501,1.24445,0.91365,0.79538,0.66667,0.67259,0.22858,0.85762,0.75561,0.81907,0.72894,2.56391,0.87806,0.0566,1.67895,1.11117,0.000988,0.000988,0.000988
25,782.004,1.90406,0.21396,0.04818,1.18982,0.92709,0.75686,0.63598,0.61786,0.19896,0.8336,0.73835,0.79087,0.70019,2.72356,0.9622,0.07178,1.8575,1.19366,0.000944,0.000944,0.000944
26,812.963,1.87978,0.25408,0.03875,1.19994,0.92579,0.84486,0.53047,0.59737,0.23455,0.82528,0.64333,0.70182,0.64925,2.62018,0.89919,0.08181,2.14771,1.18002,0.0009,0.0009,0.0009
