epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0354,3.67873,3.32995,0.68247,38.8074,1.51782,0.31939,0.30466,0.19093,0.04749,0.58909,0.44086,0.49027,0.33253,3.52481,2.46276,0.59203,2.72754,1.54618,0.000660494,0.000660494,0.000660494
2,72.4539,3.03107,1.28444,0.48466,1.95496,1.17245,0.30326,0.51971,0.21731,0.04921,0.58557,0.60266,0.6229,0.5163,3.33586,1.46539,0.41505,2.24776,1.49241,0.00129796,0.00129796,0.00129796
3,103.043,2.85369,0.90654,0.2929,1.66551,1.12917,0.50398,0.64875,0.48996,0.1421,0.63795,0.78314,0.73181,0.59558,2.91807,1.10605,0.23282,2.1359,1.32625,0.0019061,0.0019061,0.0019061
4,129.233,2.67879,0.72386,0.15702,1.64827,1.09006,0.56951,0.53047,0.4831,0.14152,0.73638,0.67079,0.71781,0.6068,3.04039,1.26769,0.16387,2.33713,1.33628,0.001868,0.001868,0.001868
5,155.495,2.56986,0.66168,0.10321,1.69855,1.04631,0.57564,0.62007,0.49132,0.14945,0.71561,0.74858,0.77273,0.67189,2.88011,1.03956,0.12702,1.95038,1.24818,0.001824,0.001824,0.001824
6,182.608,2.54329,0.58523,0.09933,1.51338,1.03376,0.61874,0.50606,0.5163,0.14618,0.81525,0.67025,0.77334,0.65825,2.84132,1.07977,0.11262,2.00105,1.21929,0.00178,0.00178,0.00178
7,208.77,2.43977,0.538,0.08165,1.47904,1.00464,0.70597,0.54216,0.53485,0.16219,0.83665,0.64252,0.72028,0.6297,3.01243,1.26889,0.11342,2.29086,1.30687,0.001736,0.001736,0.001736
8,234.998,2.29922,0.43705,0.06012,1.35598,0.97757,0.70354,0.6129,0.57542,0.18611,0.82499,0.71326,0.74832,0.64918,2.75911,1.03665,0.09145,2.30382,1.22911,0.001692,0.001692,0.001692
9,261.201,2.34754,0.44203,0.07553,1.46148,0.98232,0.64697,0.59773,0.55703,0.15637,0.76041,0.73835,0.75848,0.67818,2.80202,1.01964,0.08279,2.06656,1.21973,0.001648,0.001648,0.001648
10,287.295,2.25126,0.36054,0.0822,1.35864,0.97744,0.73712,0.52262,0.57743,0.19741,0.86391,0.61649,0.7424,0.672,2.85532,1.03209,0.08922,2.14358,1.26422,0.001604,0.001604,0.001604
11,313.397,2.2168,0.35523,0.0558,1.37122,0.95102,0.65189,0.53047,0.51822,0.14229,0.8142,0.67742,0.74838,0.65373,3.10939,1.16131,0.09218,2.43969,1.33259,0.00156,0.00156,0.00156
12,339.609,2.18385,0.2982,0.0708,1.35825,0.9437,0.76054,0.61472,0.6107,0.185,0.83635,0.71439,0.77633,0.67049,2.89041,1.06301,0.08835,2.34425,1.2758,0.001516,0.001516,0.001516
13,366.041,2.15124,0.28595,0.05771,1.24057,0.94361,0.80583,0.57706,0.64668,0.22387,0.90219,0.68817,0.81667,0.73997,2.77665,0.91241,0.06983,2.09137,1.18948,0.001472,0.001472,0.001472
14,392.622,2.10752,0.28141,0.06101,1.30994,0.9339,0.75966,0.62724,0.6252,0.22717,0.84488,0.70277,0.7583,0.68648,2.73263,0.99851,0.07515,2.32933,1.24801,0.001428,0.001428,0.001428
15,419.07,2.03728,0.26043,0.04086,1.24446,0.92109,0.73624,0.59028,0.58468,0.18509,0.84407,0.70968,0.75913,0.66006,2.85115,1.08141,0.08635,2.37785,1.25882,0.001384,0.001384,0.001384
16,445.573,1.97541,0.27097,0.04445,1.25441,0.92006,0.79264,0.54122,0.60221,0.20224,0.83119,0.63533,0.73196,0.65738,2.8635,1.06962,0.0967,2.3091,1.27743,0.00134,0.00134,0.00134
17,472.08,2.03542,0.24947,0.05073,1.34013,0.92499,0.73008,0.53405,0.55672,0.18136,0.78115,0.66526,0.71345,0.63743,2.8903,1.02343,0.09582,2.51305,1.27639,0.001296,0.001296,0.001296
18,498.466,1.97972,0.2292,0.07194,1.22303,0.92465,0.74055,0.60573,0.60358,0.19647,0.83695,0.68459,0.71861,0.65436,2.80334,0.95385,0.07743,2.4004,1.25601,0.001252,0.001252,0.001252
19,525.002,1.89597,0.22323,0.05168,1.27953,0.90839,0.82533,0.62366,0.65027,0.22384,0.90238,0.68459,0.75308,0.69442,2.75653,0.92507,0.07586,2.31829,1.23422,0.001208,0.001208,0.001208
20,551.446,1.97296,0.20332,0.04799,1.21972,0.88929,0.65154,0.51254,0.50169,0.14603,0.84994,0.60904,0.73089,0.64446,3.01766,1.02415,0.07735,2.49111,1.27858,0.001164,0.001164,0.001164
21,578.145,1.94521,0.25696,0.05545,1.22638,0.91863,0.80876,0.55914,0.60276,0.19657,0.82252,0.681,0.72187,0.65046,2.79036,0.96609,0.08006,2.51477,1.236,0.00112,0.00112,0.00112
22,604.615,1.95108,0.23238,0.07646,1.19332,0.91965,0.65118,0.50179,0.50848,0.15341,0.87478,0.681,0.75749,0.68184,3.0458,0.98337,0.06891,2.37985,1.31135,0.001076,0.001076,0.001076
23,631.239,1.85155,0.20118,0.05647,1.18842,0.90276,0.8528,0.52688,0.56118,0.17361,0.91378,0.57348,0.66431,0.61061,2.82302,0.95389,0.08065,2.44655,1.22186,0.001032,0.001032,0.001032
