epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7438,3.0576,5.39532,0.73137,59.4158,0.83191,0.16539,0.10394,0.0477,0.00831,0.29174,0.2043,0.19607,0.05619,4.26595,4.21985,0.71071,3.19025,1.22342,0.000654321,0.000654321,0.000654321
2,21.0568,4.0054,2.60848,0.61901,2.15302,0.94126,0.34967,0.42398,0.25246,0.05449,0.69652,0.7276,0.72097,0.38229,3.5963,2.36508,0.57922,1.5678,0.98006,0.00129193,0.00129193,0.00129193
3,29.9607,3.69591,1.73661,0.52834,1.85105,0.89031,0.37131,0.39068,0.24417,0.04885,0.68257,0.72043,0.73203,0.52568,3.66378,1.66663,0.46187,1.624,1.01315,0.0019002,0.0019002,0.0019002
4,39.0228,3.49166,1.18984,0.38372,1.71983,0.87775,0.42428,0.43369,0.28179,0.05953,0.76911,0.76344,0.80241,0.59664,3.56025,1.32456,0.33232,1.43215,0.94786,0.001868,0.001868,0.001868
5,47.9951,3.30212,1.03939,0.27649,1.5638,0.82846,0.59434,0.45161,0.42979,0.10984,0.74117,0.62609,0.73706,0.59122,3.10869,1.15402,0.26176,1.80837,0.89912,0.001824,0.001824,0.001824
6,57.4169,3.03688,0.73837,0.19515,1.46822,0.81918,0.46094,0.39068,0.30582,0.07097,0.80979,0.7172,0.79332,0.63332,3.5031,1.21385,0.19183,1.59082,0.9468,0.00178,0.00178,0.00178
7,67.5047,2.93248,0.57908,0.14417,1.38415,0.7989,0.57743,0.48029,0.47033,0.13512,0.76445,0.73281,0.77975,0.63892,3.08454,1.18258,0.15296,1.54767,0.91595,0.001736,0.001736,0.001736
8,77.1083,2.90659,0.5661,0.09383,1.4138,0.80683,0.5102,0.42189,0.33942,0.07471,0.78485,0.69298,0.77379,0.6684,3.40347,1.0274,0.11187,1.66023,0.93044,0.001692,0.001692,0.001692
9,86.9773,2.84264,0.57608,0.08808,1.39145,0.79533,0.73074,0.59857,0.60118,0.19248,0.83619,0.76843,0.82698,0.73664,2.92416,0.92281,0.09629,1.50486,0.89277,0.001648,0.001648,0.001648
10,96.257,2.6147,0.43329,0.07282,1.34084,0.77934,0.70977,0.53468,0.52144,0.14221,0.83688,0.7276,0.79562,0.67389,3.15914,1.11811,0.09708,1.65817,0.90018,0.001604,0.001604,0.001604
11,105.265,2.66582,0.47975,0.07804,1.24385,0.80253,0.60196,0.51971,0.52897,0.16633,0.7618,0.69923,0.75763,0.64072,2.89145,1.12865,0.07922,1.68571,0.88699,0.00156,0.00156,0.00156
12,114.902,2.6095,0.43559,0.0634,1.27611,0.77989,0.69174,0.65954,0.59932,0.14964,0.84288,0.83513,0.8549,0.72754,2.93828,0.92934,0.08195,1.33685,0.87294,0.001516,0.001516,0.001516
13,124.027,2.6914,0.42288,0.06401,1.28249,0.7888,0.743,0.53885,0.55422,0.16294,0.88311,0.64991,0.74157,0.66525,3.00455,1.06815,0.11751,1.86792,0.89652,0.001472,0.001472,0.001472
14,132.979,2.50257,0.35944,0.06395,1.22797,0.78529,0.63743,0.57974,0.54601,0.15566,0.82198,0.77778,0.82454,0.71239,3.11487,0.97417,0.05601,1.36471,0.89536,0.001428,0.001428,0.001428
15,142.191,2.53954,0.36173,0.0526,1.35253,0.78456,0.67902,0.60215,0.57897,0.2021,0.82285,0.76581,0.81733,0.70687,2.85329,0.96419,0.05374,1.54284,0.88315,0.001384,0.001384,0.001384
16,151.3,2.59323,0.36702,0.05224,1.29165,0.77311,0.65693,0.49821,0.48607,0.13462,0.84458,0.71326,0.76169,0.65573,3.17058,1.02815,0.07069,1.78332,0.90654,0.00134,0.00134,0.00134
17,160.122,2.58351,0.34123,0.05533,1.21167,0.76669,0.73696,0.56631,0.5779,0.15187,0.82458,0.69176,0.7431,0.64876,3.02414,1.07876,0.06304,1.80941,0.90399,0.001296,0.001296,0.001296
18,169.037,2.41882,0.28319,0.04754,1.14883,0.76479,0.73356,0.55262,0.57078,0.18773,0.8669,0.65591,0.75221,0.67531,2.82897,1.04246,0.06868,1.90512,0.88348,0.001252,0.001252,0.001252
19,178.05,2.43334,0.27453,0.0501,1.1917,0.77178,0.61605,0.54839,0.52709,0.14311,0.77975,0.70251,0.73614,0.65319,3.10383,1.04004,0.05332,1.73114,0.92279,0.001208,0.001208,0.001208
